country,year,Current_Account_Balance,Debt_Service_to_Exports,Financial_depth,GDP_per_Capita,Inflation_CPI,Regulatory_Quality,Terms_of_Trade,Treatment_Group,Criteria_1,Criteria_2
TCD,2021,,8.12013380004913,,574.17448671329,-0.772844370359139,-1.17182517051697,118.6849530105,1,1,0
TCD,2022,,7.59265460091035,,570.220902592433,5.78802687843616,-1.14935708045959,,1,1,0
TCD,2023,,7.88063919228386,,567.181912180859,10.8363568399842,-1.15642070770264,,1,1,0
TGO,2000,-6.64451964783898,6.60794418660449,,679.533367700848,1.86260595463066,-0.829547107219696,87.3883555535,0,0,0
TGO,2001,-8.08590195490082,7.52873649867109,,667.298281784325,3.91959133653157,,32.9564075187,0,0,0
TGO,2002,-5.81784745652387,2.74688823867455,,675.440744386282,3.05981857535874,-0.78577995300293,26.5982264836,0,0,0
TGO,2003,-5.43138096608201,2.70563335338682,,702.799200216835,-0.930000884072201,-0.687587141990662,21.2794505454,0,0,0
TGO,2004,-6.49399507558124,2.77571048845879,,678.287546160331,0.393078681031619,-0.864377677440643,25.7894530468,0,0,0
TGO,2005,-6.33089706237215,2.47772375761198,,630.248628319525,6.7829289302831,-0.842335879802704,18.6982408765,0,0,0
TGO,2006,-5.31324873611491,3.04255961484912,,629.079855938738,2.22897779414036,-0.919539630413055,84.0371957647,0,0,0
TGO,2007,-5.74598286024793,1.58491760851296,,603.837896358253,0.945673271705144,-0.975777387619019,87.9351354058,0,0,0
TGO,2008,-4.86721038634742,15.9828970946679,,610.405655722251,8.6948281436391,-0.973068416118622,98.8671378194,0,0,0
TGO,2009,-3.75655261598738,4.24026378329112,,625.711836727455,3.71360592035802,-0.87742692232132,97.2691124907,0,0,0
TGO,2010,-4.21167550941686,2.61493786208805,,644.563730311597,1.44594517430866,-0.887266576290131,97.9282434445,0,0,0
TGO,2011,-5.57134245747162,0.740162245680785,,663.963778088896,3.56351472903954,-1.01898193359375,102.1372602451,0,0,0
TGO,2012,-5.4330212905541,1.19160061934196,,687.495795744285,2.57718174055848,-0.855400681495667,103.0596315793,0,0,0
TGO,2013,-9.4394411347699,2.2800609297384,,709.092304171157,1.82539475909171,-0.9409259557724,97.4800274328,0,0,0
TGO,2014,-7.17107850784041,2.87150827954732,,730.291525419946,0.19087507624975,-0.845188200473785,95.6053913928,0,0,0
TGO,2015,-8.0102115497044,3.28527201318166,,751.052405084336,2.58500390801595,-0.863928973674774,100.0,0,0,0
TGO,2016,-7.19180252354326,4.89090998295422,,763.276549113054,1.28544847051417,-0.834297657012939,104.9911681876,0,0,0
TGO,2017,-1.51302493622226,5.80589864344321,,774.276909071917,-0.981889868943119,-0.832186579704285,103.1012057156,0,0,0
TGO,2018,-2.6297295084107,5.89482323769832,,791.59353236921,0.927755426457183,-0.70613569021225,104.6769730553,0,0,0
TGO,2019,-0.792877888994647,5.88891597874061,,810.514132815471,0.674652770077436,-0.744945108890533,103.0949510688,0,0,0
TGO,2020,-0.280228713572482,5.26539455872307,,806.956490395231,1.69928463299408,-0.664301931858063,105.8439388912,0,0,0
TGO,2021,,8.69658064494561,,835.199051274184,4.1862150652352,-0.646790862083435,101.8886735812,0,0,0
TGO,2022,,11.439660613681,,862.763712696128,7.96757361617945,-0.562867999076843,,0,0,0
TGO,2023,,11.3023378676071,,896.874686928368,5.48928568141124,-0.493230193853378,,0,0,0
THA,2000,7.36845240260665,16.2950040512155,,3514.71662970608,1.59196917460972,0.48479375243187,99.419736509,0,0,0
THA,2001,4.24027233043999,25.3848311218805,,3599.02524877358,1.62690887314091,,91.4815743384,0,0,0
THA,2002,3.46550516817668,23.2454854545216,,3783.75422073266,0.697308976625449,0.138986304402351,91.5276059846,0,0,0
THA,2003,3.13356400154558,15.5415875246069,,4018.15538187068,1.8043499463572,0.357130825519562,93.6267744735,0,0,0
THA,2004,1.59597338993786,10.9876946194684,,4232.77157261934,2.75914926231081,0.219655558466911,95.3032360323,0,0,0
THA,2005,-4.036464315232,13.6969446455772,,4372.25730206261,4.54036919634535,0.453963398933411,96.1384423887,0,0,0
THA,2006,1.04380762367254,9.40143923989748,,4551.5250018314,4.63747436011765,0.229795873165131,95.0703261413,0,0,0
THA,2007,5.92665423116422,11.7810323913453,123.591116821985,4760.66708464831,2.24154095286802,0.0861985608935356,95.3762193848,0,0,0
THA,2008,0.319466151466348,8.10364553499354,122.09035237795,4805.76393990836,5.46848949649846,0.112537249922752,93.5200069822,0,0,0
THA,2009,7.8765595025476,6.83078009394489,128.259843925222,4737.45679763314,-0.845716092316721,0.121483989059925,98.1969567853,0,0,0
THA,2010,3.36732467219253,4.70933581925751,133.419081826192,5059.35747831657,3.24758842443723,0.0618106834590435,98.4640515462,0,0,0
THA,2011,2.54217096328341,3.89652227194414,148.207922487759,5070.23740191942,3.80879058139634,0.0903827995061874,93.7017223998,0,0,0
THA,2012,-1.23233637957653,5.46420221127501,155.855258599129,5403.87846036273,3.01489950334994,0.137224212288857,92.3894120418,0,0,0
THA,2013,-2.10153458942232,5.13266012228009,159.75831632262,5516.61164164135,2.18488618530678,0.130639657378197,93.9302377097,0,0,0
THA,2014,2.8582840987004,9.49240265953916,167.165405685755,5541.46599361845,1.8951418189878,0.174806475639343,93.8440317908,0,0,0
THA,2015,6.91581517168622,7.0924610814782,171.158530003402,5688.85335397884,-0.900424963291569,0.195901736617088,100.0,0,0,0
THA,2016,10.5083543932086,5.26222601022932,169.912507907342,5857.78052935926,0.188149704448234,0.0528686940670013,102.4681570962,0,0,0
THA,2017,9.63103019182142,5.10277997834366,169.292509801228,6076.74307700082,0.665631893135106,0.0076168579980731,100.7010708983,0,0,0
THA,2018,5.61986314598972,5.99264645814319,166.437638319446,6314.19948412043,1.06389754183015,-0.0440966561436653,98.5364698069,0,0,0
THA,2019,7.03272640328298,9.62119078657852,169.050199733733,6434.53770518034,0.706728601314311,-0.0219450928270817,98.5948441648,0,0,0
THA,2020,4.18282861454669,8.30746607492233,194.437876386349,6035.18627737077,-0.845937147357041,0.0636607557535172,101.7556295645,0,0,0
THA,2021,-2.11799444006618,5.24497072327639,203.529931635541,6122.49238460162,1.23039541318384,0.0835350751876831,101.6576833279,0,0,0
