country,year,Control_of_Corruption,Government_Effectiveness,Rule_of_Law,Voice_and_Accountability,Regulatory_Quality,cbi_index,Current_Account_Balance,External_Debt_to_GNI,Debt_Service_to_Exports,GDP_Growth,GDP_per_Capita,Inflation_CPI,Terms_of_Trade,Treatment_Group_x,Criteria_1_x,Criteria_2_x,cpiapadm,cpiamacr,cpiafinq,cpiadebt,realIR,democracy_index,broad_money_to_gdp,Primary_fiscal_balance,CPIScore,EconomicFreedomIndex,Political_Stability,Contract_Enforcement_Score,Polity2_Score,Former_HIPC
ALB,2020,-0.573538780212402,-0.155121222138405,-0.378028213977814,0.0863254442811012,0.221967235207558,"0,71",-8.62504716701021,69.8890319190523,29.7327737084102,-3.31371614712083,4417.04105105395,1.62088661717004,103.9294905175,0,0,0,,,,,6.077272704132599,6.08,87.98331182957148,-4.6120545697339,,7.57,0.0886125192046165,,,0
ALB,2021,-0.577179968357086,-0.0359850227832794,-0.280716270208359,0.0855889618396759,0.175859391689301,"0,71",-7.59590759205624,62.1722783747637,14.5719568092065,8.96955339178935,4858.05201500931,2.04147163139545,103.7218886175,0,0,0,,,,,2.491452304048056,6.11,84.76628623162335,-2.66710721388079,,,0.196371927857399,,,0
ALB,2022,-0.408189445734024,0.0645405352115631,-0.165585100650787,0.141740188002586,0.159353822469711,"0,71",-5.87243640069213,55.7646367740804,9.18537866933461,4.82668831434437,5154.8274975368,6.7252027153006,,0,0,0,,,,,-3.053758799493155,6.41,77.18574559574385,-1.805056454578,,,0.106261312961578,,,0
ALB,2023,-0.332218527793884,0.250855356454849,-0.164097368717194,0.168997228145599,0.171953663229942,"0,71",-1.19632174783293,48.8846201182997,8.54482803988824,3.93662525742167,5419.63779125273,4.75976421930106,,0,0,0,,,,,0.2692823886354415,6.28,71.65811899717009,0.709642128677308,,,0.183348968625069,,,0
ARG,2000,-0.172407656908035,-0.0280386935919523,-0.214404493570328,0.418346971273422,0.182292386889458,"0,80",-3.15992237703676,54.2417099417586,64.2823867302192,-0.78899893905691,10631.6503639029,,68.3319895005,0,0,0,,,,,,,31.84862105863487,0.229315726007184,,,0.0958238765597343,,8.0,0
ARG,2001,-0.294731691479683,-0.1282588830217716,-0.487751290202141,0.3392048627138135,-0.34921208769083,"0,80",-1.40694788500181,58.4932935172091,49.5813145440098,-4.40883968258557,10051.9448463043,,67.2256046451,0,0,0,,,,,,,27.13925159124552,-1.50136405258269,,,,,8.0,0
ARG,2002,-0.417055726051331,-0.228479072451591,-0.761098086833954,0.260062754154205,-0.880716562271118,"0,80",8.97078467784247,159.890183546743,16.5973754896215,-10.8944848285903,8861.56199282278,,68.1574460316,0,0,0,,,,,,,27.92706955019515,0.259275763305394,,,-0.776545405387878,,8.0,0
ARG,2003,-0.479976803064346,-0.0342199839651585,-0.777115821838379,0.349125266075134,-0.691475629806519,"0,79",6.37990680177011,133.474955613907,38.2912710004567,8.83704079576924,9545.53194119994,,74.1212699871,0,0,0,,,,,,,30.1040572265399,3.60730341098589,,,-0.359838128089905,,8.0,0
ARG,2004,-0.414409548044205,0.015197392553091,-0.767380177974701,0.362040877342224,-0.698035299777985,"0,79",1.95058324319273,114.783966038451,29.6758736713401,9.02957330068152,10302.4465316428,,79.2003083899,0,0,0,,,,,,,28.32564646526418,4.88009392604833,,6.38,-0.610934913158417,,8.0,0
ARG,2005,-0.377738356590271,-0.0979790613055229,-0.557991087436676,0.269231617450714,-0.525074362754822,"0,79",2.65363142179073,74.2469415660219,19.7246312637172,8.85165992013437,11099.7509190602,,76.7508926724,0,0,0,,,,,,,28.66331028038283,4.0395104156308,,6.09,-0.0417749434709549,,8.0,0
