country,year,Control_of_Corruption,External_Debt_to_GNI,GDP_Growth,Government_Effectiveness,Rule_of_Law,Voice_and_Accountability,Treatment_Group,Criteria_1,Criteria_2
AZE,2016,-0.852637350559235,41.0459536484494,-3.09999988037266,-0.159376382827759,-0.539356291294098,-1.56092178821564,0,0,0
AZE,2017,-0.906532645225525,39.2647906934796,0.199999938958655,-0.171380609273911,-0.58492249250412,-1.563645362854,0,0,0
AZE,2018,-0.853233695030212,36.9721700313367,1.49999999999999,-0.145130529999733,-0.619800806045532,-1.50814247131348,0,0,0
AZE,2019,-0.849681973457336,35.7072527820781,2.50000006743734,-0.128162756562233,-0.610428035259247,-1.52860414981842,0,0,0
AZE,2020,-1.07807588577271,38.8428322510188,-4.30000010230737,-0.15526370704174,-0.729642748832703,-1.54086601734161,0,0,0
AZE,2021,-0.847890377044678,29.1465196359094,5.61645102853028,0.213475212454796,-0.606765031814575,-1.52737867832184,0,0,0
AZE,2022,-1.04090738296509,20.7787048331887,4.71480236521231,-0.0412070974707603,-0.625552177429199,-1.44162666797638,0,0,0
AZE,2023,-1.19547140598297,20.9780851317926,1.12397432709641,-0.0326422192156315,-0.566586077213287,-1.41153395175934,0,0,0
BDI,2000,-0.824704229831696,127.247625647928,-0.856864058424151,-1.41228187084198,-1.56851708889008,-1.48983597755432,1,1,0
BDI,2001,,126.496858951287,2.05580710835243,,,,1,1,0
BDI,2002,-0.75989693403244,151.804954128867,4.44651941224797,-1.50260782241821,-1.39800202846527,-1.16489124298096,1,1,0
BDI,2003,-0.874153017997742,175.849196871252,-1.22372796023444,-1.49027299880981,-1.48403012752533,-1.17799639701843,1,1,0
BDI,2004,-0.978404879570007,152.927943930632,4.83365776809453,-1.23842835426331,-1.47995054721832,-1.28100097179413,1,1,0
BDI,2005,-0.957180440425873,117.152931576234,0.900000000901912,-1.24252092838287,-1.12846672534943,-0.634234488010406,1,1,0
BDI,2006,-1.10150361061096,108.489325868382,5.41380714491444,-1.11087679862976,-0.983238279819489,-0.723143577575684,1,1,0
BDI,2007,-1.16698491573334,104.40031697488,3.45194856381943,-1.28052830696106,-1.0786669254303,-0.714045226573944,1,1,0
BDI,2008,-1.08823239803314,86.4859445638783,4.86171636712641,-1.13556611537933,-1.03810000419617,-0.685290634632111,1,1,0
BDI,2009,-1.13256120681763,34.4118134879002,3.81274536633418,-1.06673920154572,-1.15993535518646,-0.689463794231415,1,1,0
BDI,2010,-1.16890013217926,30.7174205499981,5.12415999439806,-1.12470984458923,-1.20540106296539,-0.942692875862122,1,1,0
BDI,2011,-1.20837116241455,27.2753185367529,4.03259998844415,-1.08492064476013,-1.15380430221558,-0.927631795406342,1,1,0
BDI,2012,-1.46860635280609,28.5334432668174,4.44670633111495,-1.30940592288971,-1.08392977714539,-0.894518375396729,1,1,0
BDI,2013,-1.42651343345642,27.7256926440413,4.92418989834684,-1.07123398780823,-1.07663321495056,-0.95320188999176,1,1,0
BDI,2014,-1.26824688911438,25.6132540353277,4.24065021402657,-1.1517721414566,-0.970566868782043,-1.04275143146515,1,1,0
BDI,2015,-1.28703820705414,20.1955195118146,-3.9000000804855,-1.23757755756378,-1.18589973449707,-1.2720273733139,1,1,0
BDI,2016,-1.27876329421997,22.8401921043702,-0.600000909116389,-1.48436272144318,-1.48439371585846,-1.55564069747925,1,1,0
BDI,2017,-1.31850147247314,22.3269256387722,0.500001262429279,-1.38194644451141,-1.41100382804871,-1.57598125934601,1,1,0
BDI,2018,-1.47827136516571,22.2147815852055,1.60993542127714,-1.44979333877563,-1.51381993293762,-1.66952157020569,1,1,0
BDI,2019,-1.49696969985962,24.3310399153694,1.81256532401552,-1.37481689453125,-1.45362734794617,-1.72382569313049,1,1,0
BDI,2020,-1.56340169906616,24.9628147442442,0.327156892638385,-1.30248296260834,-1.34065091609955,-1.52661275863647,1,1,0
BDI,2021,-1.59966492652893,35.0577385162281,3.09999999870627,-1.35819256305695,-1.31259107589722,-1.4070155620575,1,1,0
BDI,2022,-1.51818120479584,28.4848855256944,1.84899943948213,-1.26360619068146,-1.27654623985291,-1.39635360240936,1,1,0
